"","name","rating","address","area"
"1","AdChurch’s Chicken","","185-3675 Westminister Highway",""
"2","1. Hokkaido Ramen Santouka","4 star rating","1690 Robson Street","West End"
"3","2. Marutama Ramen","4.5 star rating","780 Bidwell Street","West End"
"4","3. Ramen Danbo","4 star rating","1833 W 4th Avenue","West End"
"5","4. Kintaro Ramen","4 star rating","788 Denman Street","Kitsilano"
"6","5. Motomachi Shokudo","4 star rating","740 Denman Street","West End"
"7","6. JINYA Ramen Bar","3.5 star rating","2129 West 41st Ave","Kerrisdale"
"8","7. Grand Noodle Emporium","3.5 star rating","6133 University Boulevard","West End"
"9","8. Ramen TAKA notsume","3.5 star rating","841 Bidwell Street","West End"
"10","9. Gyo Para Gyoza & Ramen Bar","4 star rating","2120 W Broadway","Kitsilano"
"11","10. Rajio Japanese Public House","2 star rating","3763 W 10th Avenue","UBC"
"12","11. Kingyo","4.5 star rating","871 Denman Street","West End"
"13","12. The Kitchen","4 star rating","2620 Sasamat Street","Point Grey"
"14","13. Ramen House","3.5 star rating","2893 W Broadway","Kitsilano"
"15","14. Saku","4 star rating","1773 Robson Street","Fairview Slopes"
"16","15. Ramen Koika","3 star rating","1231 Davie Street","Kitsilano"
"17","16. Chef Hung Taiwanese Beef Noodle","3 star rating","3313 Shrum Lane","UBC"
"18","17. Suika","4.5 star rating","1626 W Broadway","West End"
"19","18. Koi Ramen & Eatery","3.5 star rating","3132 W Broadway","Point Grey"
"20","19. Raisu","4 star rating","2340 W 4th Avenue","Kitsilano"
"21","20. Hitoe Sushi Japanese Restaurant","4 star rating","3347 W 4th Avenue","Kitsilano"
"22","21. Nana’s Green Tea","4.5 star rating","2135 W 41st Avenue","West End"
"23","22. Chi Noodle Bar","4 star rating","6019 West Boulevard","Kerrisdale"
"24","23. Guu with Garlic","4 star rating","1698 Robson Street","Kitsilano"
"25","24. Chi Men","2.5 star rating","1120 Denman Street","YVR"
"26","25. Jun Sushi Japanese Restaurant","4 star rating","3309 Broadway W","West End"
"27","26. Mukja Korean Cuisine","3.5 star rating","3211 W Broadway","Kerrisdale"
"28","27. China Lan Beef Noodle","4 star rating","5555 W Boulevard","Kitsilano"
"29","28. Ryuu Japanese Kitchen","4 star rating","7899 Templeton Station Road","South Granville"
"30","29. Mak N Ming","4 star rating","1629 Yew Street","Kitsilano"
"31","30. The Rise Eatery","4 star rating","3121 Granville Street","South Granville"
