"","name","is_closed","reviews","rating","price","phone","distance","longi","lati"
"1","Hokkaido Ramen Santouka",FALSE,869,4,"$$","+16046818121",8176.69554099221,-123.236045837402,49.25927936712
"2","Marutama Ramen",FALSE,524,4.5,"$$","+16046888837",8219.66036653261,-123.236045837402,49.25927936712
"3","Kintaro Ramen",FALSE,739,4,"$","+16046827568",8159.96215307952,-123.236045837402,49.25927936712
"4","Ramen Danbo",FALSE,218,4,"$$","+17783798977",6579.84144372898,-123.236045837402,49.25927936712
"5","Motomachi Shokudo",FALSE,344,4,"$$","+16046090310",8204.6593336218,-123.236045837402,49.25927936712
"6","JINYA Ramen Bar",FALSE,163,3.5,"$$","+17783798889",6392.32700474223,-123.236045837402,49.25927936712
"7","Ramen TAKA notsume",FALSE,55,3.5,"$$","+16046203371",8140.16444943929,-123.236045837402,49.25927936712
"8","Ramen Koika",FALSE,141,3.5,"$$","+16043362779",7858.97473278445,-123.236045837402,49.25927936712
"9","Gyo Para Gyoza & Ramen Bar",FALSE,58,4,"$$","+16042882941",6013.50760849988,-123.236045837402,49.25927936712
"10","Grand Noodle Emporium",FALSE,13,2,"$","+16048222901",1310.4028052667,-123.236045837402,49.25927936712
"11","Kingyo",FALSE,698,4.5,"$$","+16046081677",7976.32961800897,-123.236045837402,49.25927936712
"12","Rajio Japanese Public House",FALSE,106,4,"$$","+16045581679",3581.99959728512,-123.236045837402,49.25927936712
"13","Ramen House",FALSE,53,3.5,"$$","+16047372500",4810.03724467976,-123.236045837402,49.25927936712
"14","Suika",FALSE,363,4,"$$","+16047301678",6862.5006018008,-123.236045837402,49.25927936712
"15","Koi Ramen & Eatery",FALSE,11,3,"$$","+16046209722",4467.95304450157,-123.236045837402,49.25927936712
"16","Chef Hung Taiwanese Beef Noodle",FALSE,50,3,"$$","+16042288765",528.283346365799,-123.236045837402,49.25927936712
"17","Saku",FALSE,54,4.5,NA,"+17783795872",8157.23745322249,-123.236045837402,49.25927936712
"18","The Kitchen",FALSE,23,3.5,"$$","+16042615353",2019.49517513826,-123.236045837402,49.25927936712
"19","Hitoe Sushi Japanese Restaurant",FALSE,151,4,"$$","+17783714619",4283.08929427032,-123.236045837402,49.25927936712
"20","Jun Sushi Japanese Restaurant",FALSE,48,4,"$","+16047397181",4230.03011004152,-123.236045837402,49.25927936712
